作品名,映画ID,年,公開日,興収(億円),区分,配給会社,あらすじ,監督,脚本,キャスト,脚本家,プロデューサー,コピーライト,,,
僕の初恋をキミに捧ぐ,54278,2009,2009/10/24,21.5,邦画,東宝,青木琴美の同名ベストセラーコミックを映画化した、井上真央と岡田将生主演によるラブストーリー。監督は「Life／天国で君に逢えたら」の新城毅彦。医師の娘・繭と、重い心臓病を患い闘病生活を送る少年・逞（たくま）は互いに恋心を抱き、「大人になったら、結婚しよう」と初恋の約束を交わす。しかし、医師から逞の余命は20歳頃までと宣告されてしまい……。,新城毅彦,青木琴美,"井上真央, 岡田将生, 杉本哲太, 森口瑤子, 細田よしひこ, 原田夏希, 窪田正孝, 寺田有希, 堀内敬子, 山本學, 仲村トオル",坂東賢治,畠山直人,(C)2009「僕の初恋をキミに捧ぐ」製作委員会 (C)2005青木琴美／小学館,,1,1
あなたは私の婿になる,54446,2009,2009/10/16,16,洋画,ディズニー,ニューヨークの出版社に務めるカナダ出身の女編集長マーガレットは、ビザの申請を忘れて国外退去を命じられてしまう。そこで彼女は、気弱なアシスタントのアンドリューと結婚して何とか事態を乗り越えようとするが……。主演はサンドラ・ブロック、ライアン・レイノルズ。監督は「幸せになるための27のドレス」のアン・フレッチャー。,アン・フレッチャー,,"サンドラ・ブロック, ライアン・レイノルズ, マリン・アッカーマン, クレイグ・T・ネルソン, メアリー・スティーンバージェン, ベティ・ホワイト",ピーター・チアレッリ,,"(C)Touchstone Pictures, Inc. All Rights Reserved.",,1,1
カイジ 人生逆転ゲーム,54161,2009,2009/10/10,22.5,邦画,東宝,福本伸行による人気コミックの映画化。主演は藤原竜也、共演に天海祐希、香川照之、松尾スズキほか。定職にもつかず自堕落な日々を送るフリーターのカイジは、ある日、友人の借金の保証人になったことで多額の負債を抱えてしまう。取立てに来た金融会社社長の遠藤から、「一夜にして大金を稼ぐチャンスがある」と話を持ちかけられたカイジは、遠藤の指示に従い、とある豪華大型客船に乗り込む。,佐藤東弥,福本伸行,"藤原竜也, 天海祐希, 香川照之, 山本太郎, 光石研, 松山ケンイチ, 松尾スズキ, 佐藤慶, 吉高由里子",大森美香,藤村直人,(C)2009 「カイジ」製作委員会,,1,1
ウルヴァリン：X-MEN ZERO,53236,2009,2009/9/19,18.5,洋画,FOX,大ヒットアクション「X-MEN」シリーズの人気キャラクター、ヒュー・ジャックマン扮するウルヴァリンの過去を描く物語。驚異の肉体再生能力と戦闘力を持つ兄ビクターと弟ローガンは、150年以上に渡り共に生きてきたが、ある事件が引き金となり袂を分かつ。ローガンは自らの体に超金属アダマンチウムを移植し、ウルヴァリンとしてビクター打倒を誓うが……。監督は「ツォツィ」でアカデミー外国語映画賞を受賞したギャビン・フッド。,ギャビン・フッド,,"ヒュー・ジャックマン, リーブ・シュレイバー, ダニー・ヒューストン, ウィル・アイ・アム, リン・コリンズ, ケビン・デュランド, ドミニク・モナハン, テイラー・キッチュ, ダニエル・ヘニー, ライアン・レイノルズ, ティム・ポコック, ターニャ・トッティ",デビッド・ベニオフ,,"X-Men Character Likenesses TM & (C) 2009 Marvel Characters, Inc. All rights reserved. TM and (C) 2009 Twentieth Century Fox Film Corporation. All rights reserved.",,1,1
カムイ外伝,53339,2009,2009/9/19,11.2,邦画,松竹,白土三平の名作コミック「カムイ外伝」を、崔洋一監督、松山ケンイチ主演で映画化したアクション時代劇。宮藤官九郎が脚本を手がけ、共演に小林薫、小雪、伊藤英明、佐藤浩市らが揃う。掟に縛られた忍の世界から自由を求めて抜け出した忍者カムイは、ある小さな村で漁師・半兵衛の家族として迎えられ、同じ抜忍のスガルらとともに一時の平穏を得る。しかし、村人の密告により再び追われる身となったカムイは……。,崔洋一,白土三平,"松山ケンイチ, 小雪, 大後寿々花, 金井勇太, 土屋アンナ, PANTA, 芦名星, 佐藤浩市, イーキン・チェン, 伊藤英明, 小林薫",宮藤官九郎,森重晃,(C)2009「カムイ外伝」製作委員会,,1,1
ワイルド・スピード MAX,54557,2009,2009/9/18,16.5,洋画,東宝東和,人気カー・アクション「ワイルド・スピード」シリーズ第4弾。オリジナルキャストのビン・ディーゼル、ポール・ウォーカー、ミシェル・ロドリゲス、ジョーダナ・ブリュースターが再集結。トレーラー強奪事件の犯人として指名手配されたドミニクは、仲間と共にロサンゼルスから南米へと拠点を移し、輸送車からの強奪を繰り返していた。そんな折、ドミニクのもとに衝撃的な知らせが入り、復讐を誓ったドミニクは危険を覚悟でアメリカへ戻る。,ジャスティン・リン,,"ビン・ディーゼル, ポール・ウォーカー, ミシェル・ロドリゲス, ジョーダナ・ブリュースター, ジョン・オーティス, ラズ・アロンソ, サン・カン, テゴ・カルデロン, ガル・ギャドット, ドン・オマール, ジャック・コンレイ, ライザ・ラピラ, シェー・ウィガム",クリス・モーガン,,(C) 2009 Universal Studios. ALL RIGHTS RESERVED.,,1,1
BALLAD 名もなき恋のうた,54140,2009,2009/9/5,18.1,邦画,東宝,2002年の「映画クレヨンしんちゃん　嵐を呼ぶ　アッパレ！戦国大合戦」を原案に、戦国時代の武将・井尻又兵衛と廉姫の恋を描く時代劇。主演は草なぎ剛と新垣結衣で、監督は「ALWAYS 三丁目の夕日」シリーズの山崎貴。天正2年の戦国時代、小国・春日誇る無敵の侍・又兵衛は、命をかけて春日の姫君・廉姫を守り続けていた。幼馴染の2人は互いに密かな恋心を抱いていたが、身分の違いから結ばれない運命を背負っていた。,山崎貴,"臼井儀人, 原恵一","草なぎ剛, 新垣結衣, 夏川結衣, 筒井道隆, 武井証, 吹越満, 斉藤由貴, 吉武怜朗, 波岡一喜, 菅田俊, 香川京子, 小澤征悦, 中村敦夫, 大沢たかお",山崎貴,安藤親広,(C)2009「BALLAD 名もなき恋のうた」製作委員会,,1,1
２０世紀少年＜最終章＞ぼくらの旗,54310,2009,2009/8/29,44.1,邦画,東宝,浦沢直樹の同名人気コミックを全3部作で映画化した超大作の最終章。「世界大統領」として君臨する“ともだち”に支配された西暦2019年。殺人ウイルスが蔓延した東京は巨大な壁によって分断され、市民の生活は制限されていた。そんな中、“ともだち”が「世界の終わり」を予言。地下に潜りレジスタンス活動を続けていたカンナは市民に武装蜂起を呼びかけるが、そこへ矢吹丈と名乗る謎の男が現れ……。監督は堤幸彦。出演は唐沢寿明、豊川悦司、平愛梨、常盤貴子、香川照之ほか。,堤幸彦,浦沢直樹,"唐沢寿明, 豊川悦司, 常盤貴子, 香川照之, 平愛梨, 藤木直人, 石塚英彦, 宮迫博之, 佐々木蔵之介, 神木隆之介, 山寺宏一, 高橋幸宏, 佐野史郎, 森山未來, 古田新太, 小池栄子, 木南晴夏, 福田麻由子, ARATA, 片瀬那奈, 六平直政, 研ナオコ, 北村総一朗, 手塚とおる, 田鍋謙一郎, チェン・チャオロン, 竹内都子, 石橋保, 津田寛治, 光石研, 遠藤賢司, 高嶋政伸, 田村淳, 岡田義徳, 武蔵, 武内亨, ダイアモンド☆ユカイ, MCU, 吉田照美, 原口あきまさ, 斎藤工, 左右田一平, 石橋蓮司, 中村嘉葎雄, 黒木瞳",長崎尚志,飯沼伸之,"(C)1999,2006 浦沢直樹 スタジオナッツ／小学館(C)2009 映画「20世紀少年」製作委員会",,1,1
G.I.ジョー,92497,2009,2009/8/15,25,洋画,パラマウント,ハズブロ社のアクションフィギュアをもとに、戦闘のエキスパートチーム「G.I.ジョー」と悪の組織「コブラ」の戦いを描くアクション大作「G.I.ジョー」シリーズの3作目。シリーズの人気キャラクターでもある漆黒の忍者スネークアイズを主人公に、マスクで顔を隠し謎に包まれたスネークアイズがいかに誕生したかを描く。日本の闇の組織からある男の命を救ったスネークアイズは、秘密忍者組織「嵐影」への入門を許可される。600年にわたり日本の平和を守ってきた嵐影だったが、悪の抜け忍組織と国際テロ集団「コブラ」の連合軍による攻撃にさらされ、危機に瀕していた。スネークアイズは嵐影の3つの試練を乗り越え真の忍者となり、世界を守るため戦う。日本が主な舞台となり、ハリウッド映画史上最大規模ともいわれる日本ロケを敢行。「るろうに剣心」シリーズのアクションも手がけた谷垣健治がアクション監督、第2班監督として参加し、平岳大、安部春香、石田えりら日本人キャストも出演。監督を「RED レッド」「ダイバージェント」シリーズのロベルト・シュベンケが務め、「クレイジー・リッチ！」のヘンリー・ゴールディングがスネークアイズ役を務めた。,ロベルト・シュベンケ,エバン・スピリオトポウロス,"ヘンリー・ゴールディング, アンドリュー・小路, ウルスラ・コルベロ, イコ・ウワイス, ピーター・メンサー, サマラ・ウィービング, 平岳大, 安部春香, 石田えり",スティーブン・チョボウスキー,,"(C)2020 Paramount Pictures. All Rights Reserved. Hasbro, G.I. Joe and all related characters are trademarks of Hasbro. (C) 2020 Hasbro. All Rights Reserved.",,1,1
劇場版 仮面ライダーディケイド侍戦隊シンケンジャー 銀幕版,54394,2009,2009/8/8,19,邦画,東映,大人気TVシリーズ「仮面ライダーディケイド」の劇場版。平成・昭和の歴代仮面ライダー26人が集結し、悪の組織・大ショッカーと大迫力のバトルを繰り広げる。とある世界で自分を兄と呼ぶ少女に出会った門矢士は、その世界こそが自分のいた世界なのではないかと考える。そこでも滅びの現象が起こりはじめており、それを防ぐために最強のライダーを決めなければならないと知った士は、ライダー同士の熾烈な戦いに身を投じるが……。,金田治,石ノ森章太郎,"井上正大, 村井良大, 森カンナ, 戸谷公人, 石橋蓮司, 荒井萌, 奥田達士, 大浦龍宇一, 大杉漣, 倉田てつを, 賀集利樹, GACKT",米村正二,,(C)石森プロ・テレビ朝日・ADK・東映　(C)2009 テレビ朝日・東映AG・東映　劇場版「ディケイド・シンケンジャー」製作委員会,,1,1
